2to3	python2-basic
2to3-3.7	python3-basic
3rd-party-post	os-core-update
4channels	devpkg-LibRaw
7z	dev-utils
7za	dev-utils
CuraEngine	maker-3dprinting
DllPlugInTester	dev-utils-dev
FileCheck	llvm
FreeCAD	maker-cnc
FreeCADCmd	maker-cnc
Fritzing	education-tertiary
Magick++-config	ImageMagick
MagickCore-config	ImageMagick
MagickWand-config	ImageMagick
Markdown.pl	openqa
ModemManager	NetworkManager
NetworkManager	NetworkManager
R	R-basic
R-script	R-basic
Rscript	devpkg-R
ThermalMonitor	desktop-apps-extras
Thunar	xfce4-desktop
WebKitWebDriver	evolution
X	x11-server
Xdummy	x11vnc
Xnest	x11-server
Xorg	x11-server
Xvfb	x11-server
Xvnc	tigervnc
Xwayland	x11-server
[	os-core
a2ping	texlive
a2x	dev-utils
a2x.py	dev-utils
a5toa4	texlive
ab	httpd
abcconvert	blender
abcdiff	blender
abcecho	blender
abcechobounds	blender
abcls	blender
abcstitcher	blender
abctree	blender
abicompat	devpkg-libabigail
abidiff	devpkg-libabigail
abidw	devpkg-libabigail
abilint	devpkg-libabigail
abipkgdiff	devpkg-libabigail
abireport	package-builder
accept	hardware-printing
accessdb	sysadmin-basic
accountwizard	desktop-kde-apps
aclients	amateur-radio
aclocal	c-basic
aclocal-1.16	c-basic
aconnect	alsa-utils
acpibin	acpica-unix2
acpidump	acpica-unix2
acpiexamples	acpica-unix2
acpiexec	acpica-unix2
acpihelp	acpica-unix2
acpinames	acpica-unix2
acpisrc	acpica-unix2
acpixtract	acpica-unix2
acrn-dm	software-defined-cockpit-dev
acrnctl	software-defined-cockpit-dev
acrnd	software-defined-cockpit-dev
acrnlog	software-defined-cockpit-dev
acrnprobe	software-defined-cockpit-dev
acrntrace	software-defined-cockpit-dev
activate-global-python-argcomplete	diffoscope
acyclic	graphviz
adddebug	desktop-kde-apps
addftinfo	sysadmin-basic
addgnupghome	cryptography
addmoddel	desktop-kde
addpart	os-core
addr2line	binutils
adhocfilelist	texlive
affixcompress	kde-frameworks5-dev
afm2afm	texlive
afm2pl	texlive
afm2tfm	texlive
afmtodit	sysadmin-basic
agentxtrap	performance-tools
agetty	os-core
akonadi2xml	akonadi
akonadi_agent_launcher	akonadi
akonadi_agent_server	akonadi
akonadi_archivemail_agent	desktop-kde-apps
akonadi_benchmarker	akonadi
akonadi_control	akonadi
akonadi_followupreminder_agent	desktop-kde-apps
akonadi_indexing_agent	akonadi
akonadi_knut_resource	akonadi
akonadi_mailfilter_agent	desktop-kde-apps
akonadi_notes_agent	desktop-kde-apps
akonadi_rds	akonadi
akonadi_sendlater_agent	desktop-kde-apps
akonadi_unifiedmailbox_agent	desktop-kde-apps
akonadiconsole	akonadi
akonadictl	akonadi
akonadiselftest	akonadi
akonadiserver	akonadi
akonaditest	akonadi
akregator	desktop-kde-apps
akregatorstorageexporter	desktop-kde-apps
al	mono
al2	mono
alembic	openstack-common
aleph	texlive
allcm	texlive
alldefconfig	service-os-dev
allec	texlive
allmodconfig	service-os-dev
allneeded	texlive
allnoconfig	service-os-dev
allyesconfig	service-os-dev
alrecord	qt-basic-dev
alsa-info.sh	alsa-utils
alsabat	alsa-utils
alsabat-test.sh	alsa-utils
alsaconf	alsa-utils
alsactl	alsa-utils
alsaloop	alsa-utils
alsamixer	alsa-utils
alsatplg	alsa-utils
alsaucm	alsa-utils
altonegen	qt-basic-dev
amazon-efs-mount-watchdog	cloud-api
amidi	alsa-utils
amixer	alsa-utils
amqp-consume	openstack-common
amqp-declare-queue	openstack-common
amqp-delete-queue	openstack-common
amqp-get	openstack-common
amqp-publish	openstack-common
analyze	kde-frameworks5-dev
animate	ImageMagick
annotate	devpkg-libgd
ansible	ansible
ansible-config	ansible
ansible-connection	ansible
ansible-console	ansible
ansible-doc	ansible
ansible-galaxy	ansible
ansible-inventory	ansible
ansible-playbook	ansible
ansible-pull	ansible
ansible-vault	ansible
ant	java-basic
antRun	java-basic
apachectl	httpd
aplay	alsa-utils
aplaymidi	alsa-utils
apm	atom
append2simg	storage-utils
appletviewer	java-runtime
appletviewer11	java11-basic
appletviewer9	java9-basic
apply-kconfig	service-os-dev
applygnupgdefaults	cryptography
appstream-builder	devpkg-appstream-glib
appstream-compose	devpkg-appstream-glib
appstream-util	devpkg-appstream-glib
appstreamcli	pidgin
apr-1-config	devpkg-apr
apropos	sysadmin-basic
apu-1-config	devpkg-apr-util
apxs	application-server
ar	binutils
arara	texlive
arcconf_lsmplugin	sysadmin-remote
arecord	alsa-utils
arecordmidi	alsa-utils
argon2	os-clr-on-clr-dev
aria_chk	database-basic
aria_dump_log	database-basic
aria_ftdump	database-basic
aria_pack	database-basic
aria_read_log	database-basic
ark	ark
arlatex	texlive
arp	os-cloudguest-azure
arpaname	network-basic
arping	network-basic
arptables	iptables
arptables-nft	iptables
arptables-nft-restore	iptables
